scripts,score,timeline,timeline_ori
上半场比赛开始！！,,0,上半场4''
首先是克罗地亚开球，从右向左进攻！！,,0,上半场16''
克罗地亚左路的直塞球,,1,上半场1'4''
佩里西奇拿球，差点失误,,1,上半场1'11''
转身回带，回传后场！！,,1,上半场1'17''
克罗地亚后场的长传球到前场,,1,上半场1'44''
乌姆蒂蒂将球控制，莫德里奇反抢，犯规了,,1,上半场1'57''
博格巴中场拿球，分球右路，失误了，先出边线,,2,上半场2'37''
佩里西奇左路拿球，强突禁区,,3,上半场3'0''
乌姆蒂蒂的回防,,3,上半场3'9''
佩里西奇和曼朱基奇跑位有些重叠,,3,上半场3'17''
佩里西奇变向内切，被乌姆蒂蒂将球解围出边线,,3,上半场3'31''
佩里西奇和曼朱基奇交流几句,,3,上半场3'58''
克罗地亚前场右路的进攻！！,,4,上半场4'28''
弗尔萨利科右路强突下底,,4,上半场4'41''
传中到禁区中路，瓦拉内抢在曼朱基奇之前，头球解围出边线,,4,上半场4'56''
克罗地亚的这次进攻还是很有威胁！！,,5,上半场5'10''
乌姆蒂蒂后场拿球，带球到左路,,5,上半场5'37''
曼朱基奇的上抢，踢翻了乌姆蒂蒂，犯规,,5,上半场5'50''
今天主裁判的判罚还是比较严谨啊,,6,上半场6'5''
坎特中场和莫德里奇争抢，危险动作啊,,6,上半场6'40''
莫德里奇准备头球，坎特一脚差点踢在莫德里奇的脸上,,7,上半场7'2''
斯特里尼奇左路拿球强突,,7,上半场7'18''
博格巴的回防卡位，抢先一脚将球捅出边线,,7,上半场7'29''
斯特里尼奇左路拿球，强突内切,,7,上半场7'45''
摆脱姆巴佩，底线再走,,7,上半场7'51''
左脚横传，被回防的姆巴佩挡出了底线,,8,上半场8'2''
克罗地亚获得了左侧角球机会！！,,8,上半场8'8''
莫德里奇角球开出到中路，被防守球员解围,,8,上半场8'24''
坎特外围拿球，没能拿好，球出了边线,,8,上半场8'38''
帕瓦尔后场抢断，分球博格巴,,8,上半场8'56''
博格巴拿球反击，雷比奇的回防犯规！,,9,上半场9'10''
克罗地亚后场右路的过顶长传打身后,,9,上半场9'41''
力量太大了，洛里斯出击将球拿到,,9,上半场9'51''
克罗地亚中场抢断，莫德里奇拿球,,10,上半场10'5''
分球左侧给到斯特里尼奇，内切往禁区走,,10,上半场10'21''
横传球到点球点附近，被防守球员大脚解围！,,10,上半场10'35''
上半场比赛11分钟，比分0-0，场面上克罗地亚稍稍占优！！,,11,上半场11'4''
克罗地亚中场的抢断，过顶球到禁区,,11,上半场11'20''
佩里西奇插上，胸部停球,,11,上半场11'26''
停大了，直接出了底线！！,,11,上半场11'29''
这球佩里西奇如果直接起脚打门，还是有机会的,,11,上半场11'46''
帕瓦尔右路拿球，带至前场,,12,上半场12'14''
面对逼抢，转身回传瓦拉内,,12,上半场12'21''
再给帕瓦尔，带回后场，回敲洛里斯,,12,上半场12'33''
法国队后场的长传找前场的吉鲁,,13,上半场13'10''
可惜球太高了，从吉鲁的头顶飞过，直接出底线！！,,13,上半场13'20''
佩里西奇前场中路拿球，分球莫德里奇,,13,上半场13'44''
再给右路的弗尔萨利科，直塞身后,,13,上半场13'57''
可惜传太早了，球直接出了底线！,,14,上半场14'7''
拉基蒂奇中场抢断，头球摆渡给到左前场的佩里西奇,,14,上半场14'38''
佩里西奇拿球反击，强突禁区,,14,上半场14'42''
左脚横传球往门前送,,14,上半场14'50''
回防的瓦拉内抢在曼朱基奇身前，将球解围出边线,,15,上半场15'11''
佩里西奇和帕瓦尔无球抢位中，受伤倒地,,15,上半场15'51''
这球纯属意外，帕瓦尔转身也是没注意,,16,上半场16'4''
好在问题不大，佩里西奇简单休息后，起身继续比赛,,16,上半场16'13''
拉基蒂奇后场拿球，吉鲁的抢断,,16,上半场16'30''
没机会，直接回传后场瓦拉内控制,,16,上半场16'37''
姆巴佩前场右路拿球，强突下底,,16,上半场16'58''
倒三角回传中路，被防守球员解围,,17,上半场17'8''
佩里西奇拿球，横传中路，坎特的抢断,,17,上半场17'21''
分球格里兹曼，右路内切，被布罗佐维奇绊倒在地,,17,上半场17'35''
法国队获得了前场中路的任意球机会！！,,17,上半场17'45''
格里兹曼主罚！！！,,18,上半场18'3''
球进了！！1-0！！,,18,上半场18'12''
克罗地亚的乌龙球啊！！,,18,上半场18'19''
曼朱基奇的乌龙大礼！！,,18,上半场18'36''
